ID,Species,GrowthPoint,1_length,2_length,3_length,4_length,5_length,6_length,7_length,8_length,1_width,2_width,3_width,4_width,5_width,6_width,7_width,8_width,Notes
1.1,BETNAN,1,10,10,,,,,,,10,,,,,,,,
1.1,,2,10,9,3,,,,,,11,,,,,,,,
1.1,,3,8,6,,,,,,,8,,,,,,,,
1.1,,4,10,10,,,,,,,10,,,,,,,,
1.1,,5,7,8,,,,,,,8,,,,,,,,
1.1,,notes,length and width of leaves from growth point ,,,,,,,,,,,,,,,,
1.1,SALPUL,1,18,29,31,30,25,,,,7,10,12,12,2,,,,
1.1,,2,12,28,19,32,28,18,,,5,8,6,12,11,,,,
1.1,,3,15,20,35,36,27,,,,3,7,12,3,R,,,,
1.1,,4,12,15,23,29,32,33,22,,4,6,7,11,13,14,2,,
1.1,,5,12,11,21,29,33,31,30,25,6,3,7,10,13,11,8,2,
1.1,,notes,length and width of leaves from growth point,,,,,,,,,,,,,,,,
1.1,LEDPAL,1,6,10,7,6,3,,,,,,,,,,,,
1.1,,2,,,,,,,,,,,,,,,,,
1.1,,3,,,,,,,,,,,,,,,,,
1.1,,4,,,,,,,,,,,,,,,,,
1.1,,5,,,,,,,,,,,,,,,,,
1.1,,notes,5 different needle lengths,,,,,,,,,,,,,,,,
1.1,VACVIT,1,7,7,6,5,3,4,,,,,,,,,,,
1.1,,2,,,,,,,,,,,,,,,,,
1.1,,3,,,,,,,,,,,,,,,,,
1.1,,4,,,,,,,,,,,,,,,,,
1.1,,5,,,,,,,,,,,,,,,,,
1.1,,notes,Last two measurements are the two small leaves at the top of the plant. This plant had a flower bud. ,,,,,,,,,,,,,,,,
1.1,CARBIG,1,,,,,,,,,,,,,,,,,
1.1,,2,,,,,,,,,,,,,,,,,
1.1,,3,,,,,,,,,,,,,,,,,
1.1,,4,,,,,,,,,,,,,,,,,
1.1,,5,,,,,,,,,,,,,,,,,
1.1,,notes,,,,,,,,,,,,,,,,,
1.1,ERIVAG,1,,,,,,,,,,,,,,,,,
1.1,,2,,,,,,,,,,,,,,,,,
1.1,,3,,,,,,,,,,,,,,,,,
1.1,,4,,,,,,,,,,,,,,,,,
1.1,,5,,,,,,,,,,,,,,,,,
1.1,,notes,,,,,,,,,,,,,,,,,
1.2,BETNAN,1,9,10,7,,,,,,,,,,,,,,
1.2,,2,5,8,7,,,,,,,,,,,,,,
1.2,,3,5,9,9,9,,,,,,,,,,,,,
1.2,,4,4,7,7,,,,,,,,,,,,,,
1.2,,5,8,10,9,5,,,,,,,,,,,,,
1.2,,notes,,,,,,,,,,,,,,,,,
1.2,SALPUL,1,9,11,17,20,13,,,,,,,,,,,,
1.2,,2,11,13,25,22,30,15,,,,,,,,,,,
1.2,,3,11,12,30,23,32,25,17,,,,,,,,,,
1.2,,4,10,8,16,18,,,,,,,,,,,,,
1.2,,5,13,12,22,30,25,26,,,,,,,,,,,
1.2,,notes,,,,,,,,,,,,,,,,,
1.2,LEDPAL,1,9,9,8,,,,,,,,,,,,,,
1.2,,2,3,12,12,,,,,,,,,,,,,,
1.2,,3,7,4,7,,,,,,,,,,,,,,
1.2,,4,,,,,,,,,,,,,,,,,
1.2,,new buds,9,6,4,,,,,,,,,,,,,,
1.2,,notes,"First leaf is the new bud, next are the expanded needles ",,,,,,,,,,,,,,,,
1.2,VACVIT,1,9,7,7,8,4,3,,,,,,,,,,,
1.2,,2,,,,,,,,,,,,,,,,,
1.2,,3,,,,,,,,,,,,,,,,,
1.2,,4,,,,,,,,,,,,,,,,,
1.2,,5,,,,,,,,,,,,,,,,,
1.2,,notes,Last two are the small top leaves ,,,,,,,,,,,,,,,,
1.2,CARBIG,1,,,,,,,,,,,,,,,,,
1.2,,2,,,,,,,,,,,,,,,,,
1.2,,3,,,,,,,,,,,,,,,,,
1.2,,4,,,,,,,,,,,,,,,,,
1.2,,5,,,,,,,,,,,,,,,,,
1.2,,notes,,,,,,,,,,,,,,,,,
1.2,ERIVAG,1,,,,,,,,,,,,,,,,,
1.2,,2,,,,,,,,,,,,,,,,,
1.2,,3,,,,,,,,,,,,,,,,,
1.2,,4,,,,,,,,,,,,,,,,,
1.2,,5,,,,,,,,,,,,,,,,,
1.2,,notes,,,,,,,,,,,,,,,,,
1.3,BETNAN,1,9,7,8,,,,,,,,,,,,,,
1.3,,2,6,6,,,,,,,,,,,,,,,
1.3,,3,5,8,10,,,,,,,,,,,,,,
1.3,,4,3,8,8,,,,,,,,,,,,,,
1.3,,5,,,,,,,,,,,,,,,,,
1.3,,notes,,,,,,,,,,,,,,,,,
